name,country,color,sugar,volume,manufacturer,region,grape,year,price
Vino Nobile di Montepulciano Silineo,Италия,красное,сухое,0.75 л.,Fattoria del Cerro,Тоскана,санджовезе 100%,2019 г.,3 990

Finca Resalso,Испания,красное,сухое,0.75 л.,Emilio Moro,Кастилия и Леон,тинто фино 100%,2022 г.,2 990

Riesling Old Vines Mosel,Германия,белое,полусладкое,0.75 л.,Nik Weis St. Urbans-Hof,Мозель,рислинг 100%,2022 г.,2 990

Шардоне Красная Горка,Россия,белое,сухое,0.75 л.,Галицкий и Галицкий,Кубань,шардоне 100%,2020 г.,3 490

Il Bruno dei Vespa,Италия,красное,полусухое,0.75 л.,Vespa,Апулия,примитиво 100%,2022 г.,2 890

Tenuta Tascante Ghiaia Nera,Италия,красное,сухое,0.75 л.,Tasca d'Almerita,Сицилия,нерелло маскалезе 100%,2021 г.,4 290

Sauvignon Saint-Bris,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,совиньон блан 100%,,3 140

Bourgogne Chardonnay Laforet,Франция,белое,сухое,0.75 л.,Joseph Drouhin,Бургундия,шардоне 100%,2021 г.,5 490

Каберне Совиньон Красная Горка,Россия,красное,сухое,0.75 л.,Галицкий и Галицкий,Кубань,каберне совиньон 100%,2020 г.,3 490

Valpolicella Ripasso Valpantena,Италия,красное,полусухое,0.75 л.,Bertani,Венето,корвина веронезе 85%&мерло 10%&рондинелла 5%,2020 г.,4 190

Sauvignon Blanc Sunbird,Южная Африка,белое,сухое,0.75 л.,Simonsig,Стелленбош,совиньон блан,2023 г.,2 490

Bella’s Garden,Австралия,красное,сухое,0.75 л.,Two Hands,Южная Австралия,шираз 100%,2019 г.,10 490

Petit Bourgeois Sauvignon,Франция,белое,сухое,0.75 л.,Henri Bourgeois,Долина Луары,совиньон блан 100%,2022 г.,2 990

Tenuta Regaleali Cabernet Sauvignon Vigna San Francesco,Италия,красное,сухое,0.75 л.,Tasca d'Almerita,Сицилия,каберне совиньон 100%,2019 г.,9 990

Malleolus,Испания,красное,сухое,0.75 л.,Emilio Moro,Кастилия и Леон,тинто фино 100%,2021 г.,9 490

Malbec Verdot Finca Los Nobles,Аргентина,красное,сухое,0.75 л.,Luigi Bosca,Мендоса,мальбек&пти вердо,2020 г.,7 990

Taurasi,Италия,красное,сухое,0.75 л.,Feudi di San Gregorio,Кампания,альянико 100%,2019 г.,5 990

Sul Vulcano Etna Rosso,Италия,красное,сухое,0.75 л.,Donnafugata,Сицилия,нерелло маскалезе 100%,2021 г.,5 990

Chablis Vieilles Vignes 1946 в подарочной упаковке,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,8 490

Bourgogne Les Setilles,Франция,белое,сухое,0.75 л.,Olivier Leflaive Freres,Бургундия,шардоне 100%,2020 г.,9 990

Pouilly-Fuisse,Франция,белое,сухое,0.75 л.,Joseph Drouhin,Бургундия,шардоне 100%,2022 г.,11 490

Langhe Nebbiolo Perbacco,Италия,красное,сухое,0.75 л.,Vietti,Пьемонт,неббиоло 100%,2021 г.,6 690

Chablis Premier Cru Montmains,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,8 290

