name,country,color,sugar,volume,manufacturer,region,grape,year,price

Cumaro в подарочной упаковке,Италия,красное,сухое,0.75 л.,Umani Ronchi,Марке,монтепульчано 100%,2020 г.,8 290

Hilandar Rose ,Греция,розовое,сухое,0.75 л.,Hilandar,Македония,мерло 100%,2021 г.,4 490

Marselan Reserve,Россия,красное,сухое,1.5 л.,Усадьба Маркотх,Кубань,марселан,2021 г.,7 290

Barolo Cerequio,Италия,красное,сухое,0.75 л.,Vietti,Пьемонт,неббиоло 100%,2018 г.,48 990

Domaine des Sarrins Blanc de Rolle,Франция,белое,сухое,0.75 л.,Chateau des Sarrins,Прованс,ролль 100%,2020 г.,5 790

Les Mourrays Saint-Joseph,Франция,красное,сухое,0.75 л.,Nicolas Badel,Долина Роны,сира 100%,2018 г.,7 990

Sauvignon Blanc,Южная Африка,белое,сухое,0.75 л.,Spice Route,Дарлинг,совиньон блан 100%,2023 г.,2 490

Brunello di Montalcino,Италия,красное,сухое,0.75 л.,Le Potazzine,Тоскана,санджовезе 100%,2017 г.,22 490

Fixin,Франция,красное,сухое,0.75 л.,Domaine Pierre Gelin,Бургундия,пино нуар 100%,2019 г.,11 490

Valpolicella Ripasso Valpantena в подарочной упаковке,Италия,красное,полусухое,1.5 л.,Bertani,Венето,корвина веронезе 85%&мерло 10%&рондинелла 5%,2020 г.,7 290

Chambertin Grand Cru,Франция,красное,сухое,0.75 л.,Domaine Trapet Pere et Fils,Бургундия,пино нуар 100%,2018 г.,149 990

Gavi dei Gavi (Etichetta Nera),Италия,белое,сухое,0.375 л.,La Scolca,Пьемонт,кортезе 100%,2022 г.,3 390

Chablis Vieilles Vignes,Франция,белое,сухое,1.5 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,12 990

Clos du Temple Rose в подарочной упаковке,Франция,розовое,сухое,0.75 л.,Gerard Bertrand,Лангедок-Руссильон,сира&гренаш&сенсо&вионье&мурведр,2022 г.,49 990

Merlot e Raboso,Италия,красное,полусухое,0.75 л.,Cielo,Венето,мерло&рабозо,2022 г.,1 190

Riesling Trocken,Германия,белое,полусухое,0.75 л.,Clemens Busch,Мозель,рислинг 100%,2022 г.,4 290

Kloof Street Rouge,Южная Африка,красное,сухое,0.75 л.,Mullineux & Leeu,Свортленд,тинта баррока&сира&кариньян&сенсо&гренаш,2021 г.,3 890

Chianti Classico Gran Selezione San Lorenzo,Италия,красное,сухое,0.75 л.,Castello di Ama,Тоскана,санджовезе&мерло&мальвазия нера,2019 г.,14 990

Sedara,Италия,красное,сухое,0.375 л.,Donnafugata,Сицилия,неро д авола&каберне совиньон&мерло&сира,2021 г.,1 990

Saint-Romain,Франция,белое,сухое,0.75 л.,Domaine Thierry et Pascale Matrot,Бургундия,шардоне 100%,2018 г.,8 990

Puligny-Montrachet Premier Cru Les Pucelles,Франция,белое,сухое,0.75 л.,Domaine Paul Pernot & Fils,Бургундия,шардоне 100%,2020 г.,36 490

Puligny-Montrachet Premier Cru Les Pucelles,Франция,белое,сухое,0.75 л.,Domaine Paul Pernot & Fils,Бургундия,шардоне 100%,2021 г.,36 490

Terre Allegre Trebbiano,Италия,белое,полусладкое,0.75 л.,Cielo,Венето,треббьяно,,1 090

L`Apparita,Италия,красное,сухое,0.75 л.,Castello di Ama,Тоскана,мерло 100%,2020 г.,74 990

Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche,Франция,белое,сухое,0.75 л.,Joseph Drouhin,Бургундия,шардоне 100%,2021 г.,47 490

Yamhill Cuvee Pinot Noir,Соединенные Штаты Америки,красное,сухое,0.75 л.,Domaine Serene,Орегон,пино нуар 100%,2015 г.,15 490

Yamhill Cuvee Pinot Noir,Соединенные Штаты Америки,красное,сухое,0.75 л.,Domaine Serene,Орегон,пино нуар 100%,2017 г.,15 490

Grenache,Южная Африка,красное,сухое,0.75 л.,David & Nadia,Свортленд,гренаш 100%,2021 г.,5 990

Togliano Merlot Volpe Pasini,Италия,красное,сухое,0.75 л.,Volpe Pasini,Фриули-Венеция-Джулия,мерло 100%,2018 г.,4 490

Bourgogne Pinot Noir,Франция,красное,сухое,0.75 л.,Domaine Amiot Guy et Fils,Бургундия,пино нуар 100%,2021 г.,7 290

Kindzmarauli Shildis Mtebi,Грузия,красное,полусладкое,0.75 л.,Shildis Mtebi,Кахетия,саперави 100%,2023 г.,1 140

Alazani Valley,Грузия,белое,полусладкое,0.75 л.,Besini,Кахетия,ркацители&кахури мцване&киси,2022 г.,940

Moscatel Super Estrella,Чили,белое,сухое,0.75 л.,Roberto Henriquez,Южный регион,мускат александрийский,2020 г.,6 490

Langhe Nebbiolo,Италия,красное,сухое,0.75 л.,Scarzello,Пьемонт,неббиоло 100%,2020 г.,5 290

Amplitude,Франция,белое,сухое,0.75 л.,Domaine Tariquet,Юго-Запад,гро мансан 100%,2022 г.,3 390

Pinot Noir,Новая Зеландия,красное,сухое,0.75 л.,Dog Point Vineyards,Мальборо,пино нуар 100%,2019 г.,9 990

Origine,Италия,белое,сухое,0.75 л.,Vodopivec,Фриули-Венеция-Джулия,витовска 100%,2018 г.,12 490

Cote Rotie Chateau d'Ampuis,Франция,красное,сухое,1.5 л.,Guigal,Долина Роны,сира 93%&вионье 7%,2015 г.,64 990

Rose Trocken,Германия,розовое,полусухое,0.75 л.,Beurer,Вюртемберг,троллингер&португизер&шпетбургундер&цвайгельт,2019 г.,3 490

Saint-Joseph Lieu-dit,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,сира 100%,2018 г.,11 990

Saint-Joseph Lieu-dit,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,сира 100%,2021 г.,13 490

Каберне Совиньон Семейный Pезерв в подарочной упаковке,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,каберне совиньон 100%,2019 г.,3 990

La Scolca d'Antan в подарочной упаковке,Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2009 г.,14 490

Cote-Rotie La Landonne,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,сира 100%,2017 г.,99 990

Cote-Rotie La Landonne,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,сира 100%,2018 г.,104 990

Frascati,Италия,белое,полусухое,0.75 л.,San Marco,Лацио,треббьяно тоскано&мальвазия&бомбино бьянко,2022 г.,1 390

Finca el Encinal Roble,Испания,красное,сухое,0.75 л.,Bodegas Valparaiso,Кастилия и Леон,тинто фино 100%,2021 г.,2 290

Gevrey-Chambertin Premier Cru Champeaux Tres Vieilles Vignes,Франция,красное,сухое,0.75 л.,Domaine Dugat-Py,Бургундия,пино нуар 100%,2019 г.,84 990

Ed Knows Sauvignon Blanc,Республика Молдова,белое,сухое,0.75 л.,Bostavan,Codru,совиньон блан 100%,2022 г.,690

Corton-Charlemagne Grand Cru Vieilles Vignes,Франция,белое,сухое,0.75 л.,Domaine Dugat-Py,Бургундия,шардоне 100%,2018 г.,119 990

Rkatsiteli,Грузия,белое,сухое,0.75 л.,Giuaani,Кахетия,ркацители 100%,2021 г.,1 190

Savigny-les-Beaune 1er Cru les Fournaux  ,Франция,красное,сухое,0.75 л.,Simon Bize & Fils,Бургундия,пино нуар 100%,2017 г.,17 490

Saint-Joseph Terres d'Encre,Франция,красное,сухое,0.75 л.,Domaine Georges Vernay,Долина Роны,сира 100%,2019 г.,12 990

Saint-Joseph Terres d'Encre,Франция,красное,сухое,0.75 л.,Domaine Georges Vernay,Долина Роны,сира 100%,2018 г.,12 990

Saint-Joseph Terres d'Encre,Франция,красное,сухое,0.75 л.,Domaine Georges Vernay,Долина Роны,сира 100%,2017 г.,11 990

Giramonte,Италия,красное,сухое,0.75 л.,Frescobaldi,Тоскана,мерло&санджовезе,2021 г.,32 490

Chablis Premier Cru Montmains,Франция,белое,сухое,0.375 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,4 390

Demuerte Gold,Испания,красное,полусухое,0.75 л.,Demuerte,Мурсия,монастрель&шираз&гарнача тинторера,2020 г.,2 290

Hacienda Lopez de Haro Crianza,Испания,красное,сухое,1.5 л.,Hacienda Lopez de Haro,Риоха,темпранильо&гарнача&грасиано,2020 г.,4 490

Campirosa,Италия,розовое,сухое,0.75 л.,Dino Illuminati,Абруццо,монтепульчано 100%,2022 г.,1 990

Bourgogne Rouge,Франция,красное,сухое,0.75 л.,Domaine Pierre Damoy,Бургундия,пино нуар 100%,2017 г.,12 490

Monthelie,Франция,красное,сухое,0.75 л.,Domaine Thierry et Pascale Matrot,Бургундия,пино нуар 100%,2017 г.,10 490

Monthelie,Франция,красное,сухое,0.75 л.,Domaine Thierry et Pascale Matrot,Бургундия,пино нуар 100%,2018 г.,10 990

Chardonnay Estate,Соединенные Штаты Америки,белое,сухое,0.75 л.,The Hilt,Калифорния,шардоне 100%,2017 г.,13 490

Barolo Terlo Vigna Costa Grimaldi,Италия,красное,сухое,0.75 л.,Poderi Luigi Einaudi,Пьемонт,неббиоло 100%,2019 г.,17 490

Barolo в подарочной упаковке,Италия,красное,сухое,0.75 л.,Mauro Molino,Пьемонт,неббиоло 100%,2016 г.,67 490

Chablis,Франция,белое,сухое,0.75 л.,William Fevre,Бургундия,шардоне 100%,2021 г.,7 990

White,Франция,белое,сухое,0.75 л.,Domaine de l'Ile,Прованс,ролль 100%,2020 г.,6 990

Вионье,Россия,белое,сухое,0.75 л.,Усадьба Маркотх,Кубань,вионье,2022 г.,2 190

Marcillac Lo Sang del Pais,Франция,красное,сухое,0.75 л.,Domaine du Cros,Юго-Запад,фер серваду 100%,2022 г.,2 990

Gevrey-Chambertin,Франция,красное,сухое,0.75 л.,Joseph Drouhin,Бургундия,пино нуар 100%,2021 г.,22 490

Chateauneuf-du-Pape Rouge,Франция,красное,сухое,0.375 л.,Guigal,Долина Роны,гренаш 75%&мурведр 15%&сира 10%,2018 г.,5 490

Can'Leandro Monastrell 4 Mesos,Испания,красное,сухое,0.75 л.,Can Leandro,Валенсия,монастрель 90%&гарнача 10%,2019 г.,2 990

Malleolus в подарочной упаковке,Испания,красное,сухое,1.5 л.,Emilio Moro,Кастилия и Леон,тинто фино 100%,2020 г.,19 990

Chateau Clinet (Pomerol),Франция,красное,сухое,0.75 л.,Chateau Clinet,Бордо,мерло&каберне совиньон&каберне фран,2014 г.,24 990

Chateau Clinet (Pomerol),Франция,красное,сухое,0.75 л.,Chateau Clinet,Бордо,мерло&каберне совиньон&каберне фран,2014 г.,24 990

Gruner Veltliner Ried Loibenberg Smaragd,Австрия,белое,сухое,0.75 л.,Emmerich Knoll,Нижняя Австрия,грюнер вельтлинер 100%,2022 г.,11 990

Colore Bianco,Италия,белое,сухое,0.75 л.,Bibi Graetz,Тоскана,ансоника 100%,2020 г.,64 990

Galatrona,Италия,красное,сухое,0.75 л.,Petrolo,Тоскана,мерло 100%,2020 г.,29 990

Sassoalloro Oro,Италия,красное,сухое,0.75 л.,Castello di Montepo di Jacopo Biondi Santi,Тоскана,санджовезе 100%,2020 г.,9 990

Baron de Chirel Reserva в подарочной упаковке,Испания,красное,сухое,0.75 л.,Marques de Riscal,Риоха,темпранильо,2018 г.,27 490

Gevrey-Chambertin Clos de Meixvelle,Франция,красное,сухое,0.75 л.,Domaine Pierre Gelin,Бургундия,пино нуар 100%,2019 г.,17 490

Barolo Brunate,Италия,красное,сухое,0.75 л.,Roberto Voerzio,Пьемонт,неббиоло 100%,2017 г.,84 990

Gevrey-Chambertin,Франция,красное,сухое,0.75 л.,Domaine Pierre Damoy,Бургундия,пино нуар 100%,2017 г.,26 490

Spatburgunder Kirschgarten GG,Германия,красное,сухое,0.75 л.,Knipser,Пфальц,шпетбургундер 100%,2019 г.,14 990

Montebruna,Италия,красное,сухое,0.75 л.,Braida,Пьемонт,барбера 100%,2020 г.,5 690

Ailala Souson,Испания,красное,сухое,0.75 л.,Coto de Gomariz,Галисия,соусон,2018 г.,3 990

Corton-Charlemagne Grand Cru,Франция,белое,сухое,3 л.,Domaine Bonneau du Martray,Бургундия,шардоне 100%,2019 г.,394 990

Beaujolais Fleurie Clos Vernay,Франция,красное,сухое,0.75 л.,Domaine Lafarge Vial,Бургундия,гаме 100%,2021 г.,12 490

Bione,Армения,красное,сухое,0.75 л.,Armenia Wine,Арагацотн,каберне фран 80%&мерло 20%,2021 г.,1 640

Charmes-Chambertin Grand Cru,Франция,красное,сухое,0.75 л.,Domaine Gerard Peirazeau & Fils,Бургундия,пино нуар 100%,2021 г.,77 490

Clos de la Roche Grand Cru,Франция,красное,сухое,0.75 л.,Domaine Gerard Peirazeau & Fils,Бургундия,пино нуар 100%,2021 г.,67 490

Gevrey-Chambertin Ostrea,Франция,красное,сухое,0.75 л.,Domaine Trapet Pere et Fils,Бургундия,пино нуар 100%,2019 г.,24 990

Chianti,Италия,красное,сухое,0.75 л.,Melini,Тоскана,санджовезе&канайоло неро&колорино,2022 г.,1 590

Steakwine Cabernet Sauvignon,Аргентина,красное,полусухое,0.75 л.,Penaflor,Мендоса,каберне совиньон 100%,2021 г.,1 270

Corton Grand Cru Le Corton,Франция,красное,сухое,0.75 л.,Bouchard Pere & Fils,Бургундия,пино нуар 100%,2021 г.,47 490

Merlot,Италия,красное,полусухое,0.75 л.,Cielo,Венето,мерло,2022 г.,1 190

Le Bordeaux de Citran Blanc,Франция,белое,сухое,0.75 л.,Chateau Citran,Бордо,совиньон блан&семильон,2022 г.,2 140

Flaccianello della Pieve,Италия,красное,сухое,1.5 л.,Fontodi,Тоскана,санджовезе 100%,2019 г.,62 490

Mille e Una Notte в подарочной упаковке,Италия,красное,сухое,0.75 л.,Donnafugata,Сицилия,неро д авола&пти вердо&сира,2015 г.,22 490

Barolo Castiglione,Италия,красное,сухое,0.75 л.,Vietti,Пьемонт,неббиоло 100%,2013 г.,19 490

Brunello di Montalcino Poggio alle Mura,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе 100%,2017 г.,29 990

Pezas da Portela Valdeorras,Испания,белое,сухое,0.75 л.,Valdesil,Галисия,годельо 100%,2021 г.,8 490

Chardonnay The Old Guard,Соединенные Штаты Америки,белое,сухое,0.75 л.,The Hilt,Калифорния,шардоне 100%,2017 г.,18 490

Pinot Noir Laurene,Соединенные Штаты Америки,красное,сухое,0.75 л.,Domaine Drouhin Oregon,Орегон,пино нуар 100%,2021 г.,23 490

Chambolle Musigny Premier Cru Les Amoureuses,Франция,красное,сухое,0.75 л.,Domaine Gerard Peirazeau & Fils,Бургундия,пино нуар 100%,2020 г.,67 490

Bourgogne Chardonnay,Франция,белое,сухое,0.75 л.,Armand Heitz,Бургундия,шардоне 100%,2021 г.,7 240

Clos Saint Denis Grand Cru,Франция,красное,сухое,0.75 л.,Domaine Gerard Peirazeau & Fils,Бургундия,пино нуар 100%,2020 г.,47 490

Eisele Vineyard Cabernet Sauvignon,Соединенные Штаты Америки,красное,сухое,0.75 л.,Eisele Vineyard Estate (Araujo),Калифорния,каберне совиньон 100%,2018 г.,144 990

Eisele Vineyard Cabernet Sauvignon,Соединенные Штаты Америки,красное,сухое,0.75 л.,Eisele Vineyard Estate (Araujo),Калифорния,каберне совиньон 100%,2012 г.,134 990

Eisele Vineyard Cabernet Sauvignon,Соединенные Штаты Америки,красное,сухое,0.75 л.,Eisele Vineyard Estate (Araujo),Калифорния,каберне совиньон 98%&каберне фран 2%,2011 г.,134 990

Tini Grecanico Inzolia Sicilia,Италия,белое,полусухое,0.75 л.,Caviro,Сицилия,греканико 70%&пино гриджио 30%,,1 040

Chateau Suduiraut,Франция,белое,сладкое,0.75 л.,Chateau Suduiraut,Бордо,семильон 93%&совиньон блан 7%,2011 г.,13 490

Barolo Lazzarito,Италия,красное,сухое,0.75 л.,Vietti,Пьемонт,неббиоло 100%,2018 г.,48 990

Serpico,Италия,красное,сухое,0.75 л.,Feudi di San Gregorio,Кампания,альянико 100%,2015 г.,12 990

Saint-Romain Blanc,Франция,белое,сухое,0.75 л.,Domaine Alain Gras,Бургундия,шардоне 100%,2021 г.,9 990

Domaine de la Grange des Peres Rouge,Франция,красное,сухое,0.75 л.,Domaine de la Grange des Peres,Лангедок-Руссильон,сира&мурведр&каберне совиньон&кунуаз,2019 г.,34 990

Gevrey-Chambertin,Франция,красное,сухое,0.75 л.,Domaine Sylvie Esmonin,Бургундия,пино нуар 100%,2021 г.,19 490

Barolo Bussia,Италия,красное,сухое,0.75 л.,Giacomo Fenocchio,Пьемонт,неббиоло 100%,2019 г.,12 990

Barolo del Comune di Barolo,Италия,красное,сухое,0.75 л.,Scarzello,Пьемонт,неббиоло 100%,2016 г.,12 990

Barolo del Comune di Barolo,Италия,красное,сухое,0.75 л.,Scarzello,Пьемонт,неббиоло 100%,2018 г.,11 990

Mi-Pente,Франция,красное,сухое,0.75 л.,Domaine de la Butte,Долина Луары,каберне фран 100%,2017 г.,9 690

Carolina Reserva Rose,Чили,розовое,сухое,0.75 л.,Santa Carolina,Центральная Долина,гренаш 60%&пино нуар 30%&мерло 10%,2021 г.,1 490

Tini Grecanico/ Pinot Grigio Biologico,Италия,белое,полусухое,0.75 л.,Caviro,Сицилия,греканико&пино гриджио,2022 г.,1 190

Barolo Ornato,Италия,красное,сухое,0.75 л.,Pio Cesare,Пьемонт,неббиоло 100%,2019 г.,28 490

Bordeaux des Iles,Франция,красное,сухое,0.75 л.,Domaine de l'Ile Margaux,Бордо,каберне совиньон&каберне фран&мерло&мальбек&пти вердо,2019 г.,5 290

Nipozzano Chianti Rufina Riserva в подарочной упаковке,Италия,красное,сухое,1.5 л.,Frescobaldi,Тоскана,санджовезе&мальвазия нера&колорино&мерло&каберне совиньон,2020 г.,11 190

La Capra Chenin Blanc,Южная Африка,белое,сухое,0.75 л.,Fairview,Вестерн Кейп,шенен блан 100%,2023 г.,1 990

Tenuta Tascante Contrada Sciaranuova,Италия,красное,сухое,0.75 л.,Tasca d'Almerita,Сицилия,нерелло маскалезе 100%,2019 г.,11 490

Riscal 1860,Испания,красное,сухое,0.75 л.,Marques de Riscal,Кастилия и Леон,тинто фино&сира,2021 г.,2 390

Pelago,Италия,красное,сухое,0.75 л.,Umani Ronchi,Марке,монтепульчано&каберне совиньон&мерло,2019 г.,8 990

Marques de Riscal Gran Reserva,Испания,красное,сухое,0.75 л.,Marques de Riscal,Риоха,темпранильо 100%,2017 г.,11 490

Marques de Riscal Gran Reserva,Испания,красное,сухое,0.75 л.,Marques de Riscal,Риоха,темпранильо 100%,2018 г.,11 490

Moulin des Costes Rouge,Франция,красное,сухое,0.75 л.,Domaines Bunan,Прованс,мурведр&гренаш&сенсо&сира,2019 г.,6 290

Freschello Bianco,Италия,белое,полусухое,0.75 л.,Cielo,Венето,гарганега&треббьяно,,990

Marques de Riscal Rosado,Испания,розовое,сухое,0.75 л.,Marques de Riscal,Риоха,гарнача 75%&виура 15%&мальвазия 5%&гарнача бланка 5%,2021 г.,2 390

Santi Soave Classico DOC,Италия,белое,сухое,0.75 л.,Santi,Венето,гарганега&треббьяно ди соаве,2022 г.,1 690

Ginestet Bordeaux Blanc,Франция,белое,сухое,0.75 л.,Maison Ginestet,Бордо,совиньон блан&семильон,2021 г.,1 590

Cabernet Bouchet Finca Los Nobles,Аргентина,красное,сухое,0.75 л.,Luigi Bosca,Мендоса,каберне совиньон&каберне фран,2021 г.,9 990

Ginestet Medoc,Франция,красное,сухое,0.75 л.,Maison Ginestet,Бордо,мерло&каберне совиньон&каберне фран,2020 г.,2 390

Passaia,Италия,красное,полусухое,0.75 л.,Cielo,Тоскана,санджовезе&мерло,2019 г.,1 690

Chateau Grand Village Blanc,Франция,белое,сухое,0.75 л.,Chateau Grand Village,Бордо,совиньон блан&семильон,2020 г.,4 490

50 & 50,Италия,красное,сухое,0.75 л.,Capannelle,Тоскана,санджовезе 50%&мерло 50%,2019 г.,29 490

Jo Salento Negramaro,Италия,красное,сухое,0.75 л.,Gianfranco Fino,Апулия,негроамаро 100%,2019 г.,18 490

Le Serre Nuove dell'Ornellaia,Италия,красное,сухое,0.75 л.,Ornellaia,Тоскана,мерло 44%&каберне совиньон 26%&каберне фран 18%&пти вердо 12%,2016 г.,24 990

Le Serre Nuove dell'Ornellaia,Италия,красное,сухое,0.75 л.,Ornellaia,Тоскана,мерло 50%&каберне совиньон 34%&каберне фран 9%&пти вердо 7%,2014 г.,24 990

Merlot,Италия,красное,полусухое,0.75 л.,Casa Defra,Венето,мерло 100%,2022 г.,1 240

Garganega,Италия,белое,полусухое,0.75 л.,Domini Veneti,Венето,гарганега 100%,2022 г.,2 290

Bourgogne Chardonnay,Франция,белое,сухое,0.75 л.,Domaine Amiot Guy et Fils,Бургундия,шардоне 100%,2020 г.,6 290

Punta di Adine в подарочной упаковке,Италия,красное,сухое,1.5 л.,Bertinga,Тоскана,санджовезе 100%,2017 г.,38 490

Max Reserva Chardonnay,Чили,белое,сухое,0.75 л.,Errazuriz,Аконкагуа,шардоне 100%,2022 г.,2 990

Allende Tinto,Испания,красное,сухое,0.75 л.,Finca Allende,Риоха,темпранильо 100%,2014 г.,6 490

Dos Caprichos Joven,Испания,красное,сухое,0.75 л.,Bodegas Faustino,Риоха,темпранильо 100%,2019 г.,1 490

Zweigelt Rose,Австрия,розовое,сухое,0.75 л.,Nastl,Нижняя Австрия,цвайгельт 100%,2022 г.,2 290

Brunello di Montalcino Vigna Marrucheto,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе 100%,2018 г.,22 490

La Cumbre,Чили,красное,сухое,0.75 л.,Errazuriz,Аконкагуа,сира 100%,2018 г.,18 490

Morgon La Chanaise,Франция,красное,сухое,0.75 л.,Domaines Dominique Piron,Бургундия,гаме 100%,2021 г.,4 290

Langhe Nebbiolo,Италия,красное,сухое,0.75 л.,Pio Cesare,Пьемонт,неббиоло 100%,2021 г.,5 640

Domaine de Viaud,Франция,красное,сухое,0.75 л.,Domaine de Viaud,Бордо,мерло&каберне фран,2010 г.,6 790

Domaine de Viaud,Франция,красное,сухое,0.75 л.,Domaine de Viaud,Бордо,мерло&каберне фран,2001 г.,6 690

Haiku в подарочной упаковке,Италия,красное,сухое,1.5 л.,Castello di Ama,Тоскана,санджовезе 50%&каберне фран 25%&мерло 25%,2018 г.,33 490

Penfolds Grange в подарочной упаковке,Австралия,красное,сухое,0.75 л.,Penfolds,Южная Австралия,шираз 97%&каберне совиньон 3%,2016 г.,174 990

Barolo Mosconi,Италия,красное,сухое,0.75 л.,Pio Cesare,Пьемонт,неббиоло 100%,2019 г.,32 490

Gran Reserva Cabernet Sauvignon,Чили,красное,сухое,0.75 л.,Santa Carolina,Центральная Долина,каберне совиньон 100%,2020 г.,1 990

Twelftree Grenache Mourvedre Seaview Willunga,Австралия,красное,сухое,0.75 л.,Two Hands,Южная Австралия,гренаш 52%&мурведр 42%&шираз 4%,2020 г.,8 490

Chateau des Sarrins Blanc Secret,Франция,белое,сухое,0.75 л.,Chateau des Sarrins,Прованс,ролль 100%,2021 г.,7 290

Marques de Riscal Reserva в подарочной упаковке,Испания,красное,сухое,1.5 л.,Marques de Riscal,Риоха,темпранильо 96%&грасиано 4%,2019 г.,9 990

Gavarini Langhe Nebbiolo,Италия,красное,сухое,0.75 л.,Elio Grasso,Пьемонт,неббиоло 100%,2021 г.,6 240

Gavarini Langhe Nebbiolo,Италия,красное,сухое,0.75 л.,Elio Grasso,Пьемонт,неббиоло 100%,2020 г.,6 240

Villa Solais,Италия,белое,сухое,0.75 л.,Santadi,Сардиния,верментино 85%&нурагус 15%,2022 г.,2 490

Le Grand Noir Rose,Франция,розовое,сухое,0.75 л.,Les Celliers Jean d'Alibert,Лангедок-Руссильон,гренаш 85%&шираз 15%,2022 г.,1 640

La Massa,Италия,красное,сухое,0.75 л.,La Massa,Тоскана,санджовезе&каберне совиньон&мерло&аликанте,2020 г.,7 490

Mazzapink,Италия,красное,сухое,0.75 л.,Tenuta di Valgiano,Тоскана,санджовезе 70%&каберне совиньон 30%,2021 г.,5 690

La Gioia,Италия,красное,сухое,0.75 л.,Riecine,Тоскана,санджовезе 100%,2019 г.,13 990

Centine Rosso,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе&каберне совиньон&мерло,2021 г.,2 490

Chianti Classico,Италия,красное,сухое,0.75 л.,Fontodi,Тоскана,санджовезе 100%,2020 г.,7 990

Campo de la Mancha Rosado,Испания,розовое,сухое,0.75 л.,Campo Delia,Кастилия Ла Манча,тинто фино 100%,,990

Derthona,Италия,белое,полусухое,0.75 л.,Vigneti Massa,Пьемонт,тиморассо 100%,2022 г.,7 290

Derthona,Италия,белое,полусухое,0.75 л.,Vigneti Massa,Пьемонт,тиморассо 100%,2020 г.,7 290

Casa Albali Tempranillo Shiraz,Испания,красное,полусухое,0.75 л.,Felix Solis,Кастилия Ла Манча,темпранильо&шираз,2022 г.,1 390

Ca Morei,Италия,красное,сухое,0.75 л.,Sandro Fay,Ломбардия,неббиоло 100%,2018 г.,8 290

Riesling Senftenberger Piri,Австрия,белое,полусухое,0.75 л.,Nigl,Нижняя Австрия,рислинг 100%,2022 г.,6 690

Malleolus в подарочной упаковке,Испания,красное,сухое,0.75 л.,Emilio Moro,Кастилия и Леон,тинто фино 100%,2020 г.,10 990

Gewurztraminer Jules Geyl,Франция,белое,сладкое,0.75 л.,Domaine Bott-Geyl,Эльзас,гевюрцтраминер 100%,2019 г.,4 990

Savigny-les-Beaune Premier Cru Les Lavieres,Франция,красное,сухое,0.75 л.,Bouchard Pere & Fils,Бургундия,пино нуар 100%,2020 г.,13 490

Gavi,Италия,белое,сухое,0.75 л.,Ottosoldi,Пьемонт,кортезе 100%,2021 г.,3 740

Brunello di Montalcino в подарочной упаковке,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе 100%,2018 г.,13 090

Pinotage Redhill,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,пинотаж,2020 г.,5 990

Langhe Nebbiolo,Италия,красное,сухое,0.75 л.,Ettore Germano,Пьемонт,неббиоло 100%,2021 г.,5 490

Chambolle-Musigny,Франция,красное,сухое,0.75 л.,Bouchard Pere & Fils,Бургундия,пино нуар 100%,2019 г.,18 490

Chenin Blanc,Южная Африка,белое,сухое,0.75 л.,Fairview,Вестерн Кейп,шенен блан 100%,2023 г.,2 990

Chateau Soutard,Франция,красное,сухое,0.75 л.,Chateau Soutard,Бордо,мерло 63%&каберне фран 28%&каберне совиньон 7%&мальбек 2%,2014 г.,9 990

Cellar Selection Chardonnay,Чили,белое,полусухое,0.75 л.,Santa Carolina,Центральная Долина,шардоне 100%,2023 г.,990

Ruche di Castagnole Monferrato,Италия,красное,сухое,0.75 л.,Agricola Crivelli,Пьемонт,руке 100%,2022 г.,6 290

Meursault Les Clous,Франция,белое,сухое,0.375 л.,Bouchard Pere & Fils,Бургундия,шардоне 100%,2019 г.,9 490

Sgarzon,Италия,красное,сухое,0.75 л.,Foradori,Трентино-Альто Адидже,терольдего 100%,2020 г.,8 490

Sgarzon,Италия,красное,сухое,0.75 л.,Foradori,Трентино-Альто Адидже,терольдего 100%,2021 г.,8 490

Bourgogne Aligote Le Clou et la Plume,Франция,белое,сухое,0.75 л.,Domaine Agnes Paquet,Бургундия,алиготе 100%,2021 г.,6 490

Tollodouro,Испания,белое,сухое,0.75 л.,Bodegas Horacio Gomez Araujo,Галисия,альбариньо&лаурейро&трейшадура,2022 г.,3 990
